Réservation au nom de ;Domaines ;Ressource  ;Description ;Heure - Durée ;Type;Dernière mise à jour
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 24 novembre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono18;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;mardi 23 novembre 2021 13:30:00 - 1 jour(s) et 4 heure(s) ;Emprunt ;lundi 22 novembre 202112:10:45
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 25 novembre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 25 novembre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono12;Trepied Photo / Vidéo;Trépied n°5;Manfrotto BeFree;jeudi 18 novembre 2021 14:00:00 - 1 semaine(s) ;Emprunt ;mardi 16 novembre 202110:21:20
mono8;Enregistreur Numerique;Tascam mini n°8;Dr-05x;mercredi 24 novembre 2021 16:00:00 - 4 jour(s) et 16 heure(s) ;Emprunt ;mardi 23 novembre 202115:48:08
mono7;Camescope;Camescope HD n°2;Panasonic HC-VXF1;mercredi 24 novembre 2021 10:00:00 - 4 jour(s), 23 heure(s) et 30 minute(s) ;Emprunt ;lundi 29 novembre 202109:25:50
mono7;Micro Cravate NON PRO;Micro Cravate n°1;Sony ECM AW3(T);mercredi 24 novembre 2021 10:00:00 - 4 jour(s), 23 heure(s) et 30 minute(s) ;Emprunt ;lundi 29 novembre 202109:26:08
mono7;Trepied Photo / Vidéo;Trépied n°1;Manfrotto BeFree;mercredi 24 novembre 2021 10:00:00 - 5 jour(s) et 30 minute(s) ;Emprunt ;lundi 15 novembre 202111:37:16
mono7;Enregistreur Numerique;Tascam mini n°3;DR-05;mercredi 24 novembre 2021 10:00:00 - 5 jour(s) et 30 minute(s) ;Emprunt ;lundi 15 novembre 202111:37:41
mono21;Camescope;Camescope HD n°9 ;Panasonic HC-V770 ;mardi 23 novembre 2021 15:00:00 - 6 jour(s) et 19 heure(s) ;Emprunt ;jeudi 18 novembre 202109:21:49
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 30 novembre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:10:51
mono12;Enregistreur Numerique;Tascam mini n°4 ;DR-05;mardi 23 novembre 2021 14:00:00 - 1 semaine(s) ;Emprunt ;jeudi 18 novembre 202108:45:49
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;mardi 30 novembre 2021 11:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mardi 30 novembre 202108:45:54
mono22;Enregistreur Numerique;Tascam mini n°2 ;DR-05 -  Sans câble USB;vendredi 26 novembre 2021 08:00:00 - 4 jour(s) et 9 heure(s) ;Emprunt ;mardi 23 novembre 202112:34:00
mono12;Trepied Photo / Vidéo;Trépied n°3;Pas de sacoche ;mardi 30 novembre 2021 09:30:00 - 8 heure(s) et 30 minute(s) ;Cours;mardi 16 novembre 202108:23:50
mono17;NOUVEAUX PC LONGUE DUREE;PC B LD n°10 ALIM ABS;DELL Latitude E5580;lundi 18 octobre 2021 11:00:00 - 6 semaine(s), 2 jour(s) et 1 heure(s) ;Emprunt ;mercredi 01 décembre 202111:02:54
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 01 décembre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono15;Enregistreur Numerique;Tascam mini n°9;Dr-05x;jeudi 25 novembre 2021 08:00:00 - 6 jour(s) et 9 heure(s) ;Emprunt ;mardi 23 novembre 202113:01:08
mono15;Micro filaire;Micro n°4;;jeudi 25 novembre 2021 08:00:00 - 6 jour(s) et 9 heure(s) ;Emprunt ;mardi 23 novembre 202113:02:10
mono15;Enregistreur Numerique;Tascam mini n°7;Dr-05x;vendredi 26 novembre 2021 17:30:00 - 4 jour(s), 23 heure(s) et 30 minute(s) ;Emprunt ;mardi 30 novembre 202113:58:39
mono8;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;mardi 30 novembre 2021 17:00:00 - 1 jour(s), 16 heure(s) et 30 minute(s) ;Emprunt ;mardi 30 novembre 202117:16:20
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 02 décembre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 02 décembre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 02 décembre 2021 09:30:00 - 8 heure(s) ;Cours;vendredi 26 novembre 202108:55:40
mono9;Enregistreur Numerique;Tascam mini n°6;DR-05;vendredi 26 novembre 2021 09:30:00 - 1 semaine(s) ;Emprunt ;lundi 22 novembre 202116:41:01
mono9;Camescope;Camescope HD n°6;Panasonic HC-VXF1;vendredi 26 novembre 2021 09:30:00 - 1 semaine(s) ;Emprunt ;lundi 22 novembre 202116:41:21
mono9;Trepied Photo / Vidéo;Trépied n°4;Manfrotto BeFree ;vendredi 26 novembre 2021 09:30:00 - 1 semaine(s) ;Emprunt ;lundi 22 novembre 202116:41:41
mono16;Camescope;Camescope HD n°3 ;Panasonic HC-VXF1;vendredi 26 novembre 2021 12:00:00 - 1 semaine(s) et 5 heure(s) ;Emprunt ;vendredi 19 novembre 202117:47:59
mono16;Trepied Photo / Vidéo;Trépied n°2;Manfrotto BeFree;vendredi 26 novembre 2021 12:00:00 - 1 semaine(s) et 5 heure(s) ;Emprunt ;vendredi 19 novembre 202117:51:04
mono16;Enregistreur Numerique;Tascam mini n°5;DR-05;vendredi 26 novembre 2021 12:00:00 - 1 semaine(s) et 5 heure(s) ;Emprunt ;vendredi 19 novembre 202117:57:46
mono16;Micro Cravate NON PRO;Micro Cravate n°1;Sony ECM AW3(T);lundi 29 novembre 2021 15:30:00 - 4 jour(s), 1 heure(s) et 30 minute(s) ;Emprunt ;lundi 29 novembre 202115:30:13
mono8;NOUVEAUX PC LONGUE DUREE;PC B LD n°8;DELL Latitude E5580;lundi 20 septembre 2021 12:00:00 - 11 semaine(s) et 1 heure(s) ;Emprunt ;vendredi 12 novembre 202111:39:23
mono5;NOUVEAUX PC COURTE DUREE;PC B CD n°12;Dell Latitude 3410;lundi 06 décembre 2021 11:00:00 - 7 heure(s) ;Emprunt ;mercredi 08 décembre 202111:00:40
mono18;NOUVEAUX PC LONGUE DUREE;PC B LD 12;DELL Latitude E5580;mardi 09 novembre 2021 09:00:00 - 4 semaine(s) et 30 minute(s) ;Emprunt ;lundi 08 novembre 202108:31:11
mono6;NOUVEAUX PC LONGUE DUREE;PC B LD n°13;Dell Latitude 3410;mardi 16 novembre 2021 18:00:00 - 2 semaine(s), 6 jour(s) et 18 heure(s) ;Emprunt ;mardi 16 novembre 202112:28:02
mono6;NOUVEAUX PC LONGUE DUREE;PC B LD n°19;Dell Latitude 5520;mardi 16 novembre 2021 12:00:00 - 3 semaine(s) ;Emprunt ;mercredi 01 décembre 202108:00:08
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 07 décembre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:10:51
mono19;Trepied Photo / Vidéo;Trépied n°6;Manfrotto Befree;mardi 07 décembre 2021 10:00:00 - 4 heure(s) et 30 minute(s) ;Emprunt ;mardi 07 décembre 202109:35:36
mono8;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;mardi 30 novembre 2021 18:00:00 - 1 semaine(s) ;Emprunt ;mercredi 08 décembre 202112:19:16
mono14;Camescope;Camescope HD n°5;Panasonic HC-VXF1;mardi 07 décembre 2021 09:30:00 - 1 jour(s), 1 heure(s) et 30 minute(s) ;Cours;lundi 29 novembre 202113:14:54
mono6;Trepied Photo / Vidéo;Trépied n°5;Manfrotto BeFree;mardi 07 décembre 2021 11:00:00 - 1 jour(s) et 30 minute(s) ;Emprunt ;mardi 07 décembre 202110:59:02
mono6;Enregistreur Numerique;Tascam mini n°5;DR-05;mardi 07 décembre 2021 11:00:00 - 1 jour(s) et 1 heure(s) ;Emprunt ;mardi 07 décembre 202111:12:36
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 08 décembre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 09 décembre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 09 décembre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;jeudi 09 décembre 2021 12:00:00 - 4 heure(s) ;Emprunt ;jeudi 09 décembre 202112:15:17
mono6;Trepied Photo / Vidéo;Trépied n°4;Manfrotto BeFree ;jeudi 09 décembre 2021 14:00:00 - 19 heure(s) ;Emprunt ;jeudi 09 décembre 202115:06:17
mono13;NOUVEAUX PC COURTE DUREE;PC B CD n°10;Dell Latitude 3410;vendredi 10 décembre 2021 12:00:00 - 2 heure(s) ;Cours;vendredi 10 décembre 202111:49:08
mono15;Tablettes Ipad - Longue Durée;Ipad n°7;Ipad;mardi 07 décembre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s) ;Emprunt ;mardi 07 décembre 202108:53:36
mono15;Tablettes Ipad - Longue Durée;Ipad n°8;Ipad;mardi 07 décembre 2021 09:30:00 - 3 jour(s), 5 heure(s) et 30 minute(s) ;Emprunt ;mardi 07 décembre 202108:54:00
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 09 décembre 2021 13:30:00 - 1 jour(s), 2 heure(s) et 30 minute(s) ;Cours;jeudi 09 décembre 202113:52:54
mono18;Tablettes Ipad - Longue Durée;Ipad n°5;Ipad;mercredi 08 décembre 2021 14:00:00 - 4 jour(s) et 21 heure(s) ;Emprunt ;lundi 06 décembre 202110:58:46
mono18;Tablettes Ipad - Longue Durée;Ipad n°6;Ipad;mercredi 08 décembre 2021 14:00:00 - 4 jour(s) et 21 heure(s) ;Emprunt ;lundi 06 décembre 202110:59:05
mono18;NOUVEAUX PC LONGUE DUREE;PC B LD n°6;Dell Latitude 3410;lundi 15 novembre 2021 10:00:00 - 4 semaine(s) et 2 heure(s) ;Emprunt ;mardi 16 novembre 202117:14:48
mono21;Micro filaire;Micro n°3;;vendredi 10 décembre 2021 15:00:00 - 2 jour(s), 21 heure(s) et 30 minute(s) ;Emprunt ;jeudi 09 décembre 202112:31:42
mono2;Enregistreur Numerique;Tascam mini n°3;DR-05;lundi 06 décembre 2021 17:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;lundi 06 décembre 202116:53:59
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°8;Dell Latitude 3410;mercredi 13 octobre 2021 08:00:00 - 8 semaine(s), 5 jour(s) et 11 heure(s) ;Emprunt ;lundi 29 novembre 202107:47:32
mono21;NOUVEAUX PC LONGUE DUREE;PC B LD n°16;Dell Latitude 3410 ;mardi 02 novembre 2021 10:00:00 - 6 semaine(s) ;Emprunt ;mardi 23 novembre 202110:13:28
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 14 décembre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:10:51
mono18;NOUVEAUX PC LONGUE DUREE;PC B LD n°18;Dell Latitude 5520;mardi 16 novembre 2021 16:00:00 - 4 semaine(s) ;Emprunt ;mardi 16 novembre 202116:06:28
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;mercredi 15 décembre 2021 13:30:00 - 2 heure(s) et 30 minute(s) ;Emprunt ;mercredi 06 octobre 202116:43:06
mono8;NOUVEAUX PC LONGUE DUREE;PC B LD n°4;Dell Latitude 3410;jeudi 18 novembre 2021 16:00:00 - 3 semaine(s) et 6 jour(s) ;Emprunt ;mercredi 15 décembre 202115:21:50
mono2;NOUVEAUX PC LONGUE DUREE;PC B LD n°20;Dell Latitude 5520;vendredi 19 novembre 2021 10:00:00 - 3 semaine(s), 5 jour(s) et 8 heure(s) ;Emprunt ;jeudi 18 novembre 202114:21:46
mono3;Enceinte;RONDSON n°1 câble du Rondson n°3 car n°1 HS;;jeudi 16 décembre 2021 08:00:00 - 4 heure(s) ;Emprunt ;mercredi 06 octobre 202112:14:09
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 16 décembre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono1;Camescope;Camescope HD n°2;Panasonic HC-VXF1;vendredi 10 décembre 2021 08:00:00 - 6 jour(s) et 10 heure(s) ;Cours;vendredi 10 décembre 202109:02:56
mono19;Trepied Photo / Vidéo;Trépied n°2;Manfrotto BeFree;vendredi 10 décembre 2021 08:00:00 - 6 jour(s) et 10 heure(s) ;Emprunt ;vendredi 10 décembre 202113:07:50
mono1;NOUVEAUX PC LONGUE DUREE;PC B LD n°11;Dell Latitude 3410;jeudi 18 novembre 2021 08:00:00 - 4 semaine(s) et 10 heure(s) ;Emprunt ;jeudi 13 janvier 202216:54:11
mono18;Tablettes Ipad - Longue Durée;Ipad n°4;Ipad;mercredi 08 décembre 2021 14:00:00 - 1 semaine(s), 1 jour(s) et 21 heure(s) ;Emprunt ;mardi 07 décembre 202111:00:20
mono2;NOUVEAUX PC LONGUE DUREE;PC B LD n°17;Dell Latitude 5520;vendredi 29 octobre 2021 08:30:00 - 7 semaine(s), 4 heure(s) et 30 minute(s) ;Emprunt ;mercredi 24 novembre 202112:24:51
mono15;NOUVEAUX PC LONGUE DUREE;PC B LD n°1;Dell Latitude 3410;mercredi 24 novembre 2021 16:30:00 - 3 semaine(s), 1 jour(s) et 20 heure(s) ;Emprunt ;mercredi 24 novembre 202116:19:32
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;vendredi 12 novembre 2021 10:00:00 - 5 semaine(s) et 6 heure(s) ;Emprunt ;mardi 16 novembre 202109:08:21
mono16;Trepied Photo / Vidéo;Trépied n°1;Manfrotto BeFree;mardi 14 décembre 2021 09:00:00 - 3 jour(s) et 7 heure(s) ;Emprunt ;vendredi 10 décembre 202112:00:21
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°6;Dell Latitude 3410;jeudi 23 décembre 2021 10:00:00 - 2 heure(s) ;Maintenance;jeudi 07 octobre 202110:17:27
mono3;Tablettes Ipad - Longue Durée;Ipad n°10 - SPARE;Ipad;mercredi 06 janvier 2021 08:00:00 - 51 semaine(s), 2 jour(s) et 9 heure(s) ;Maintenance;mercredi 06 janvier 202114:00:36
mono3;Enregistreur Numerique;Tascam mini n°8;Dr-05x;mardi 14 décembre 2021 11:30:00 - 2 semaine(s) et 6 jour(s) ;Emprunt ;mardi 14 décembre 202111:49:01
mono3;Camescope;Camescope HD n°5;Panasonic HC-VXF1;mardi 14 décembre 2021 11:30:00 - 2 semaine(s), 6 jour(s) et 30 minute(s) ;Emprunt ;mardi 14 décembre 202111:33:52
mono3;Camescope;Camescope HD n°6;Panasonic HC-VXF1;mardi 14 décembre 2021 11:30:00 - 2 semaine(s), 6 jour(s) et 30 minute(s) ;Emprunt ;mardi 14 décembre 202111:33:52
mono3;Trepied Photo / Vidéo;Trépied n°6;Manfrotto Befree;mardi 14 décembre 2021 12:30:00 - 2 semaine(s), 5 jour(s), 23 heure(s) et 30 minute(s) ;Emprunt ;mardi 14 décembre 202111:41:00
mono20;NOUVEAUX PC LONGUE DUREE;PC B LD n°16;Dell Latitude 3410 ;mercredi 15 décembre 2021 10:00:00 - 3 semaine(s), 1 heure(s) et 30 minute(s) ;Emprunt ;mercredi 05 janvier 202211:41:59
mono10;NOUVEAUX PC LONGUE DUREE;PC B LD n°3;DELL Latitude E5580;mercredi 24 novembre 2021 09:30:00 - 6 semaine(s), 2 heure(s) et 30 minute(s) ;Emprunt ;mardi 07 décembre 202110:45:05
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°9;Dell Latitude 3410;mardi 12 octobre 2021 12:00:00 - 12 semaine(s), 1 jour(s) et 1 heure(s) ;Emprunt ;mercredi 05 janvier 202211:34:04
mono6;NOUVEAUX PC LONGUE DUREE;PC B LD n°19;Dell Latitude 5520;mercredi 08 décembre 2021 12:30:00 - 4 semaine(s) ;Emprunt ;mercredi 05 janvier 202212:54:12
mono8;NOUVEAUX PC LONGUE DUREE;PC B LD n°8;DELL Latitude E5580;lundi 06 décembre 2021 12:00:00 - 4 semaine(s), 2 jour(s) et 23 heure(s) ;Emprunt ;mercredi 05 janvier 202212:46:33
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 06 janvier 2022 13:30:00 - 1 jour(s) ;Emprunt ;jeudi 06 janvier 202213:41:25
mono6;Enregistreur Numerique;Tascam mini n°5;DR-05;lundi 03 janvier 2022 15:00:00 - 1 semaine(s) ;Emprunt ;mercredi 15 décembre 202113:23:55
mono3;Micro Cravate NON PRO;Micro Cravate n°1;Sony ECM AW3(T);lundi 10 janvier 2022 16:00:00 - 2 jour(s) et 22 heure(s) ;Emprunt ;lundi 10 janvier 202216:45:56
mono19;Trepied Photo / Vidéo;Trépied n°2;Manfrotto BeFree;lundi 10 janvier 2022 10:00:00 - 3 jour(s) et 6 heure(s) ;Emprunt ;lundi 10 janvier 202209:24:44
mono17;Camescope;Camescope HD n°5;Panasonic HC-VXF1;vendredi 14 janvier 2022 16:30:00 - 2 jour(s), 19 heure(s) et 30 minute(s) ;Cours;vendredi 14 janvier 202216:48:56
mono3;Trepied Photo / Vidéo;Trépied n°4;Manfrotto BeFree ;vendredi 14 janvier 2022 16:00:00 - 2 jour(s) et 20 heure(s) ;Emprunt ;vendredi 14 janvier 202216:51:53
mono19;Camescope;Camescope HD n°2;Panasonic HC-VXF1;lundi 10 janvier 2022 10:00:00 - 1 semaine(s) et 6 heure(s) ;Emprunt ;jeudi 13 janvier 202212:17:10
mono5;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202112:38:44
mono5;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202112:38:44
mono5;Videoprojecteur;VP 01 ;Epson EBW29;jeudi 13 janvier 2022 10:30:00 - 1 semaine(s) ;Emprunt ;mercredi 15 décembre 202112:39:39
mono5;Videoprojecteur;VP 02;Epson EB-W29;jeudi 13 janvier 2022 10:30:00 - 1 semaine(s) ;Emprunt ;mercredi 15 décembre 202112:39:39
mono5;Videoprojecteur;VP 03;Epson EB-W29;jeudi 13 janvier 2022 10:30:00 - 1 semaine(s) ;Emprunt ;mercredi 15 décembre 202112:39:39
mono5;Enceinte;RONDSON n°2;;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202112:43:32
mono5;Enceinte;RONDSON n°4;;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202112:43:32
mono5;Enregistreur Numerique;Tascam mini n°3;DR-05;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202112:44:12
mono5;Appareil Photo ;APN n°2;Bridge LUMIX;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 15 décembre 202116:35:44
mono13;Trepied Photo / Vidéo;Trépied n°1;Manfrotto BeFree;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;jeudi 13 janvier 202215:25:11
mono5;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 13 janvier 2022 10:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;jeudi 13 janvier 202215:30:54
mono3;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;mercredi 19 janvier 2022 09:00:00 - 2 jour(s) et 8 heure(s) ;Emprunt ;lundi 17 janvier 202209:44:52
mono8;Trepied Photo / Vidéo;Trépied n°1;Manfrotto BeFree;vendredi 21 janvier 2022 09:00:00 - 3 jour(s) et 30 minute(s) ;Emprunt ;lundi 17 janvier 202216:27:41
mono2;NOUVEAUX PC LONGUE DUREE;PC B LD n°20;Dell Latitude 5520;lundi 03 janvier 2022 08:00:00 - 3 semaine(s) et 10 heure(s) ;Emprunt ;mercredi 17 novembre 202110:05:02
mono7;Enceinte;RONDSON n°2;;mardi 25 janvier 2022 09:00:00 - 3 heure(s) ;Cours;mercredi 19 janvier 202209:21:35
mono7;Videoprojecteur;VP 01 ;Epson EBW29;mardi 25 janvier 2022 14:00:00 - 4 heure(s) ;Cours;mercredi 19 janvier 202209:47:59
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mercredi 26 janvier 2022 08:00:00 - 4 heure(s) ;Cours;mercredi 26 janvier 202208:06:02
mono11;Videoprojecteur;VP 01 ;Epson EBW29;jeudi 27 janvier 2022 10:00:00 - 2 heure(s) ;Cours;jeudi 27 janvier 202209:36:34
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°10;Dell Latitude 3410;jeudi 27 janvier 2022 10:00:00 - 2 heure(s) ;Cours;mercredi 06 avril 202217:03:16
mono3;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;lundi 24 janvier 2022 09:00:00 - 3 jour(s) et 8 heure(s) ;Emprunt ;lundi 17 janvier 202209:45:34
mono16;NOUVEAUX PC COURTE DUREE;PC B CD n°8;Dell Latitude 3410;mardi 18 janvier 2022 09:00:00 - 1 semaine(s), 2 jour(s), 8 heure(s) et 30 minute(s) ;Maintenance;lundi 24 janvier 202208:21:28
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 27 janvier 2022 08:00:00 - 10 heure(s) ;Cours;mercredi 26 janvier 202208:06:53
mono20;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;vendredi 28 janvier 2022 09:30:00 - 6 heure(s) et 30 minute(s) ;Emprunt ;vendredi 28 janvier 202209:25:03
mono19;NOUVEAUX PC LONGUE DUREE;PC B LD n°4;Dell Latitude 3410;lundi 03 janvier 2022 11:00:00 - 4 semaine(s) et 7 heure(s) ;Emprunt ;lundi 31 janvier 202208:10:45
mono8;Trepied Photo / Vidéo;Trépied n°2;Manfrotto BeFree;mardi 25 janvier 2022 10:00:00 - 1 semaine(s), 7 heure(s) et 30 minute(s) ;Emprunt ;lundi 24 janvier 202209:18:30
mono8;Camescope;Camescope HD n°2;Panasonic HC-VXF1;mardi 25 janvier 2022 10:00:00 - 1 semaine(s), 7 heure(s) et 30 minute(s) ;Emprunt ;lundi 24 janvier 202209:18:49
mono8;Tablettes Ipad - Longue Durée;Ipad n°2;Pas de clavier;mardi 25 janvier 2022 10:00:00 - 1 semaine(s), 7 heure(s) et 30 minute(s) ;Emprunt ;mardi 25 janvier 202210:25:06
mono5;Enregistreur Numerique;Tascam mini n°5;DR-05;mercredi 26 janvier 2022 09:00:00 - 1 semaine(s) et 30 minute(s) ;Emprunt ;mercredi 26 janvier 202209:15:27
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mercredi 02 février 2022 08:00:00 - 4 heure(s) ;Cours;mercredi 26 janvier 202208:06:02
mono7;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;mercredi 02 février 2022 10:30:00 - 3 heure(s) et 30 minute(s) ;Cours;mercredi 02 février 202210:44:00
mono21;Appareil Photo ;APN n°1;Bridge LUMIX;mardi 01 février 2022 12:30:00 - 1 jour(s), 3 heure(s) et 30 minute(s) ;Emprunt ;mardi 01 février 202212:48:46
mono6;Trepied Photo / Vidéo;Trépied n°5;Manfrotto BeFree;mardi 01 février 2022 16:00:00 - 1 jour(s) et 16 heure(s) ;Emprunt ;mardi 01 février 202216:04:09
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°10;Dell Latitude 3410;jeudi 03 février 2022 10:00:00 - 2 heure(s) ;Cours;mercredi 06 avril 202217:03:16
mono6;NOUVEAUX PC COURTE DUREE;PC B CD n°9;Dell Latitude 3410;jeudi 06 janvier 2022 12:30:00 - 4 semaine(s) ;Emprunt ;jeudi 06 janvier 202215:54:33
mono3;Camescope;Camescope HD n°6;Panasonic HC-VXF1;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;lundi 31 janvier 202211:11:00
mono3;Camescope;Camescope HD n°2;Panasonic HC-VXF1;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:30:06
mono3;Camescope;Camescope HD n°7;Panasonic HC-VXF1;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:30:39
mono3;Camescope;Camescope HD n°8  ;Panasonic HC-VXF1;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:30:46
mono3;Camescope;Camescope HD n°9 ;Panasonic HC-V770 ;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:30:53
mono3;Trepied Photo / Vidéo;Trépied n°6;Manfrotto Befree;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:35:14
mono3;Trepied Photo / Vidéo;Trépied n°9 ;Manfrotto BeFree Pro;jeudi 03 février 2022 12:00:00 - 2 heure(s) ;Cours;jeudi 03 février 202212:35:23
mono11;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 03 février 2022 08:00:00 - 10 heure(s) ;Cours;mercredi 26 janvier 202208:06:53
mono19;Videoprojecteur;VP 01 ;Epson EBW29;mercredi 02 février 2022 14:00:00 - 1 jour(s) et 4 heure(s) ;Emprunt ;jeudi 03 février 202213:48:04
mono16;PC Courte Duree ;PC B CD 5;DELL Latitude E5580;vendredi 04 février 2022 08:00:00 - 4 heure(s) et 30 minute(s) ;Cours;vendredi 04 février 202207:56:04
mono20;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;vendredi 04 février 2022 12:00:00 - 4 heure(s) ;Emprunt ;vendredi 04 février 202211:54:08
mono3;Tablettes Ipad - Longue Durée;Ipad n°9 ;Ipad;mercredi 08 décembre 2021 15:00:00 - 8 semaine(s), 2 jour(s) et 2 heure(s) ;Emprunt ;mercredi 08 décembre 202115:35:02
mono3;NOUVEAUX PC LONGUE DUREE;PC B LD n°16;Dell Latitude 3410 ;lundi 31 janvier 2022 09:00:00 - 4 jour(s) et 8 heure(s) ;Emprunt ;mardi 01 février 202209:13:10
