Réservation au nom de ;Domaines ;Ressource  ;Description ;Heure - Durée ;Type;Dernière mise à jour
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°1 ;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:45:41
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:45:47
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:45:52
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°4;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:45:59
mono2;NOUVEAUX PC COURTE DUREE;PC B CD n°5;Dell Latitude 3410;jeudi 07 octobre 2021 13:30:00 - 4 heure(s) et 30 minute(s) ;Cours;lundi 27 septembre 202113:46:04
mono16;NOUVEAUX PC COURTE DUREE;PC B CD n°3;DELL Latitude E5580;vendredi 08 octobre 2021 08:00:00 - 3 jour(s), 6 heure(s) et 30 minute(s) ;Emprunt ;vendredi 08 octobre 202109:16:54
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°7;Dell Latitude 3410;jeudi 07 octobre 2021 10:00:00 - 4 jour(s) et 6 heure(s) ;Emprunt ;vendredi 08 octobre 202109:51:42
mono6;NOUVEAUX PC LONGUE DUREE;PC B LD n°13;Dell Latitude 3410;mardi 21 septembre 2021 12:00:00 - 3 semaine(s) et 30 minute(s) ;Emprunt ;jeudi 23 septembre 202117:52:29
mono12;NOUVEAUX PC COURTE DUREE;PC B CD n°2;DELL Latitude E5580;mardi 12 octobre 2021 08:00:00 - 6 heure(s) ;Cours;mardi 05 octobre 202108:10:51
mono7;Enregistreur Numerique;Tascam mini n°5;DR-05;mardi 12 octobre 2021 14:30:00 - 1 heure(s) et 30 minute(s) ;Maintenance;jeudi 07 octobre 202111:07:38
mono6;Videoprojecteur;VP 03;Epson EB-W29;mardi 12 octobre 2021 11:30:00 - 5 heure(s) ;Emprunt ;mardi 12 octobre 202116:06:32
mono2;Enregistreur Numerique;Tascam mini n°7;Dr-05x;mardi 12 octobre 2021 13:00:00 - 4 heure(s) ;Emprunt ;lundi 11 octobre 202113:58:05
